,code,term
0,I00X,Rheumatic fever without mention of heart involvement
1,I00-I02,Acute rheumatic fever
2,I01X,Rheumatic fever with heart involvement
3,I010,Acute rheumatic pericarditis
4,I011,Acute rheumatic endocarditis
5,I012,Acute rheumatic myocarditis
6,I018,Other acute rheumatic heart disease
7,I019,"Acute rheumatic heart disease, unspecified"
8,I02X,Rheumatic chorea
9,I020,Rheumatic chorea with heart involvement
10,I029,Rheumatic chorea without heart involvement
11,I05X,Rheumatic mitral valve diseases
12,I05-I09,Chronic rheumatic heart diseases
13,I050,Mitral stenosis
14,I051,Rheumatic mitral insufficiency
15,I052,Mitral stenosis with insufficiency
16,I058,Other mitral valve diseases
17,I059,"Mitral valve disease, unspecified"
18,I06X,Rheumatic aortic valve diseases
19,I060,Rheumatic aortic stenosis
20,I061,Rheumatic aortic insufficiency
21,I062,Rheumatic aortic stenosis with insufficiency
22,I068,Other rheumatic aortic valve diseases
23,I069,"Rheumatic aortic valve disease, unspecified"
24,I07X,Rheumatic tricuspid valve diseases
25,I070,Tricuspid stenosis
26,I071,Tricuspid insufficiency
27,I072,Tricuspid stenosis with insufficiency
28,I078,Other tricuspid valve diseases
29,I079,"Tricuspid valve disease, unspecified"
30,I08X,Multiple valve diseases
31,I080,Disorders of both mitral and aortic valves
32,I081,Disorders of both mitral and tricuspid valves
33,I082,Disorders of both aortic and tricuspid valves
34,I083,"Combined disorders of mitral, aortic and tricuspid valves"
35,I088,Other multiple valve diseases
36,I089,"Multiple valve disease, unspecified"
37,I09X,Other rheumatic heart diseases
38,I090,Rheumatic myocarditis
39,I091,"Rheumatic diseases of endocardium, valve unspecified"
40,I092,Chronic rheumatic pericarditis
41,I098,Other specified rheumatic heart diseases
42,I099,"Rheumatic heart disease, unspecified"
43,I10X,Essential (primary) hypertension
44,I10-I15,Hypertensive diseases
45,I11X,Hypertensive heart disease
46,I110,Hypertensive heart disease with (congestive) heart failure
47,I119,Hypertensive heart disease without (congestive) heart failure
48,I12X,Hypertensive renal disease
49,I120,Hypertensive renal disease with renal failure
50,I129,Hypertensive renal disease without renal failure
51,I13X,Hypertensive heart and renal disease
52,I130,Hypertensive heart and renal disease with (congestive) heart failure
53,I131,Hypertensive heart and renal disease with renal failure
54,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
55,I139,"Hypertensive heart and renal disease, unspecified"
56,I15X,Secondary hypertension
57,I150,Renovascular hypertension
58,I151,Hypertension secondary to other renal disorders
59,I152,Hypertension secondary to endocrine disorders
60,I158,Other secondary hypertension
61,I159,"Secondary hypertension, unspecified"
62,I20X,Angina pectoris
63,I20-I25,Ischaemic heart diseases
64,I200,Unstable angina
65,I201,Angina pectoris with documented spasm
66,I208,Other forms of angina pectoris
67,I209,"Angina pectoris, unspecified"
68,I21X,Acute myocardial infarction
69,I210,Acute transmural myocardial infarction of anterior wall
70,I211,Acute transmural myocardial infarction of inferior wall
71,I212,Acute transmural myocardial infarction of other sites
72,I213,Acute transmural myocardial infarction of unspecified site
73,I214,Acute subendocardial myocardial infarction
74,I219,"Acute myocardial infarction, unspecified"
75,I22X,Subsequent myocardial infarction
76,I220,Subsequent myocardial infarction of anterior wall
77,I221,Subsequent myocardial infarction of inferior wall
78,I228,Subsequent myocardial infarction of other sites
79,I229,Subsequent myocardial infarction of unspecified site
80,I23X,Certain current complications following acute myocardial infarction
81,I230,Haemopericardium as current complication following acute myocardial infarction
82,I231,Atrial septal defect as current complication following acute myocardial infarction
83,I232,Ventricular septal defect as current complication following acute myocardial infarction
84,I233,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
85,I234,Rupture of chordae tendineae as current complication following acute myocardial infarction
86,I235,Rupture of papillary muscle as current complication following acute myocardial infarction
87,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
88,I238,Other current complications following acute myocardial infarction
89,I24X,Other acute ischaemic heart diseases
90,I240,Coronary thrombosis not resulting in myocardial infarction
91,I241,Dressler syndrome
92,I248,Other forms of acute ischaemic heart disease
93,I249,"Acute ischaemic heart disease, unspecified"
94,I25X,Chronic ischaemic heart disease
95,I250,"Atherosclerotic cardiovascular disease, so described"
96,I251,Atherosclerotic heart disease
97,I252,Old myocardial infarction
98,I253,Aneurysm of heart
99,I254,Coronary artery aneurysm and dissection
100,I255,Ischaemic cardiomyopathy
101,I256,Silent myocardial ischaemia
102,I258,Other forms of chronic ischaemic heart disease
103,I259,"Chronic ischaemic heart disease, unspecified"
104,I26X,Pulmonary embolism
105,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation
106,I260,Pulmonary embolism with mention of acute cor pulmonale
107,I269,Pulmonary embolism without mention of acute cor pulmonale
108,I27X,Other pulmonary heart diseases
109,I270,Primary pulmonary hypertension
110,I271,Kyphoscoliotic heart disease
111,I272,Other secondary pulmonary hypertension
112,I278,Other specified pulmonary heart diseases
113,I279,"Pulmonary heart disease, unspecified"
114,I28X,Other diseases of pulmonary vessels
115,I280,Arteriovenous fistula of pulmonary vessels
116,I281,Aneurysm of pulmonary artery
117,I288,Other specified diseases of pulmonary vessels
118,I289,"Disease of pulmonary vessels, unspecified"
119,I30X,Acute pericarditis
120,I30-I52,Other forms of heart disease
121,I300,Acute nonspecific idiopathic pericarditis
122,I301,Infective pericarditis
123,I308,Other forms of acute pericarditis
124,I309,"Acute pericarditis, unspecified"
125,I31X,Other diseases of pericardium
126,I310,Chronic adhesive pericarditis
127,I311,Chronic constrictive pericarditis
128,I312,"Haemopericardium, not elsewhere classified"
129,I313,Pericardial effusion (noninflammatory)
130,I318,Other specified diseases of pericardium
131,I319,"Disease of pericardium, unspecified"
132,I32X,Pericarditis in diseases classified elsewhere
133,I320,Pericarditis in bacterial diseases classified elsewhere
134,I321,Pericarditis in other infectious and parasitic diseases classified elsewhere
135,I328,Pericarditis in other diseases classified elsewhere
136,I33X,Acute and subacute endocarditis
137,I330,Acute and subacute infective endocarditis
138,I339,"Acute endocarditis, unspecified"
139,I34X,Nonrheumatic mitral valve disorders
140,I340,Mitral (valve) insufficiency
141,I341,Mitral (valve) prolapse
142,I342,Nonrheumatic mitral (valve) stenosis
143,I348,Other nonrheumatic mitral valve disorders
144,I349,"Nonrheumatic mitral valve disorder, unspecified"
145,I35X,Nonrheumatic aortic valve disorders
146,I350,Aortic (valve) stenosis
147,I351,Aortic (valve) insufficiency
148,I352,Aortic (valve) stenosis with insufficiency
149,I358,Other aortic valve disorders
150,I359,"Aortic valve disorder, unspecified"
151,I36X,Nonrheumatic tricuspid valve disorders
152,I360,Nonrheumatic tricuspid (valve) stenosis
153,I361,Nonrheumatic tricuspid (valve) insufficiency
154,I362,Nonrheumatic tricuspid (valve) stenosis with insufficiency
155,I368,Other nonrheumatic tricuspid valve disorders
156,I369,"Nonrheumatic tricuspid valve disorder, unspecified"
157,I37X,Pulmonary valve disorders
158,I370,Pulmonary valve stenosis
159,I371,Pulmonary valve insufficiency
160,I372,Pulmonary valve stenosis with insufficiency
161,I378,Other pulmonary valve disorders
162,I379,"Pulmonary valve disorder, unspecified"
163,I38X,"Endocarditis, valve unspecified"
164,I39X,Endocarditis and heart valve disorders in diseases classified elsewhere
165,I390,Mitral valve disorders in diseases classified elsewhere
166,I391,Aortic valve disorders in diseases classified elsewhere
167,I392,Tricuspid valve disorders in diseases classified elsewhere
168,I393,Pulmonary valve disorders in diseases classified elsewhere
169,I394,Multiple valve disorders in diseases classified elsewhere
170,I398,"Endocarditis, valve unspecified, in diseases classified elsewhere"
171,I40X,Acute myocarditis
172,I400,Infective myocarditis
173,I401,Isolated myocarditis
174,I408,Other acute myocarditis
175,I409,"Acute myocarditis, unspecified"
176,I41X,Myocarditis in diseases classified elsewhere
177,I410,Myocarditis in bacterial diseases classified elsewhere
178,I411,Myocarditis in viral diseases classified elsewhere
179,I412,Myocarditis in other infectious and parasitic diseases classified elsewhere
180,I418,Myocarditis in other diseases classified elsewhere
181,I42X,Cardiomyopathy
182,I420,Dilated cardiomyopathy
183,I421,Obstructive hypertrophic cardiomyopathy
184,I422,Other hypertrophic cardiomyopathy
185,I423,Endomyocardial (eosinophilic) disease
186,I424,Endocardial fibroelastosis
187,I425,Other restrictive cardiomyopathy
188,I426,Alcoholic cardiomyopathy
189,I427,Cardiomyopathy due to drugs and other external agents
190,I428,Other cardiomyopathies
191,I429,"Cardiomyopathy, unspecified"
192,I43X,Cardiomyopathy in diseases classified elsewhere
193,I430,Cardiomyopathy in infectious and parasitic diseases classified elsewhere
194,I431,Cardiomyopathy in metabolic diseases
195,I432,Cardiomyopathy in nutritional diseases
196,I438,Cardiomyopathy in other diseases classified elsewhere
197,I44X,Atrioventricular and left bundle-branch block
198,I440,"Atrioventricular block, first degree"
199,I441,"Atrioventricular block, second degree"
200,I442,"Atrioventricular block, complete"
201,I443,Other and unspecified atrioventricular block
202,I444,Left anterior fascicular block
203,I445,Left posterior fascicular block
204,I446,Other and unspecified fascicular block
205,I447,"Left bundle-branch block, unspecified"
206,I45X,Other conduction disorders
207,I450,Right fascicular block
208,I451,Other and unspecified right bundle-branch block
209,I452,Bifascicular block
210,I453,Trifascicular block
211,I454,Nonspecific intraventricular block
212,I455,Other specified heart block
213,I456,Pre-excitation syndrome
214,I458,Other specified conduction disorders
215,I459,"Conduction disorder, unspecified"
216,I46X,Cardiac arrest
217,I460,Cardiac arrest with successful resuscitation
218,I461,"Sudden cardiac death, so described"
219,I469,"Cardiac arrest, unspecified"
220,I47X,Paroxysmal tachycardia
221,I470,Re-entry ventricular arrhythmia
222,I471,Supraventricular tachycardia
223,I472,Ventricular tachycardia
224,I479,"Paroxysmal tachycardia, unspecified"
225,I48X,Atrial fibrillation and flutter
226,I480,Paroxysmal atrial fibrillation
227,I481,Persistent atrial fibrillation
228,I482,Chronic atrial fibrillation
229,I483,Typical atrial flutter
230,I484,Atypical atrial flutter
231,I489,"Atrial fibrillation and atrial flutter, unspecified"
232,I49X,Other cardiac arrhythmias
233,I490,Ventricular fibrillation and flutter
234,I491,Atrial premature depolarization
235,I492,Junctional premature depolarization
236,I493,Ventricular premature depolarization
237,I494,Other and unspecified premature depolarization
238,I495,Sick sinus syndrome
239,I498,Other specified cardiac arrhythmias
240,I499,"Cardiac arrhythmia, unspecified"
241,I50X,Heart failure
242,I500,Congestive heart failure
243,I501,Left ventricular failure
244,I509,"Heart failure, unspecified"
245,I51X,Complications and ill-defined descriptions of heart disease
246,I510,"Cardiac septal defect, acquired"
247,I511,"Rupture of chordae tendineae, not elsewhere classified"
248,I512,"Rupture of papillary muscle, not elsewhere classified"
249,I513,"Intracardiac thrombosis, not elsewhere classified"
250,I514,"Myocarditis, unspecified"
251,I515,Myocardial degeneration
252,I516,"Cardiovascular disease, unspecified"
253,I517,Cardiomegaly
254,I518,Other ill-defined heart diseases
255,I519,"Heart disease, unspecified"
256,I52X,Other heart disorders in diseases classified elsewhere
257,I520,Other heart disorders in bacterial diseases classified elsewhere
258,I521,Other heart disorders in other infectious and parasitic diseases classified elsewhere
259,I528,Other heart disorders in other diseases classified elsewhere
260,I60X,Subarachnoid haemorrhage
261,I60-I69,Cerebrovascular diseases
262,I600,Subarachnoid haemorrhage from carotid siphon and bifurcation
263,I601,Subarachnoid haemorrhage from middle cerebral artery
264,I602,Subarachnoid haemorrhage from anterior communicating artery
265,I603,Subarachnoid haemorrhage from posterior communicating artery
266,I604,Subarachnoid haemorrhage from basilar artery
267,I605,Subarachnoid haemorrhage from vertebral artery
268,I606,Subarachnoid haemorrhage from other intracranial arteries
269,I607,"Subarachnoid haemorrhage from intracranial artery, unspecified"
270,I608,Other subarachnoid haemorrhage
271,I609,"Subarachnoid haemorrhage, unspecified"
272,I61X,Intracerebral haemorrhage
273,I610,"Intracerebral haemorrhage in hemisphere, subcortical"
274,I611,"Intracerebral haemorrhage in hemisphere, cortical"
275,I612,"Intracerebral haemorrhage in hemisphere, unspecified"
276,I613,Intracerebral haemorrhage in brain stem
277,I614,Intracerebral haemorrhage in cerebellum
278,I615,"Intracerebral haemorrhage, intraventricular"
279,I616,"Intracerebral haemorrhage, multiple localized"
280,I618,Other intracerebral haemorrhage
281,I619,"Intracerebral haemorrhage, unspecified"
282,I62X,Other nontraumatic intracranial haemorrhage
283,I620,Nontraumatic subdural haemorrhage
284,I621,Nontraumatic extradural haemorrhage
285,I629,"Intracranial haemorrhage (nontraumatic), unspecified"
286,I63X,Cerebral infarction
287,I630,Cerebral infarction due to thrombosis of precerebral arteries
288,I631,Cerebral infarction due to embolism of precerebral arteries
289,I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
290,I633,Cerebral infarction due to thrombosis of cerebral arteries
291,I634,Cerebral infarction due to embolism of cerebral arteries
292,I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
293,I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
294,I638,Other cerebral infarction
295,I639,"Cerebral infarction, unspecified"
296,I64X,"Stroke, not specified as haemorrhage or infarction"
297,I65X,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
298,I650,Occlusion and stenosis of vertebral artery
299,I651,Occlusion and stenosis of basilar artery
300,I652,Occlusion and stenosis of carotid artery
301,I653,Occlusion and stenosis of multiple and bilateral precerebral arteries
302,I658,Occlusion and stenosis of other precerebral artery
303,I659,Occlusion and stenosis of unspecified precerebral artery
304,I66X,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
305,I660,Occlusion and stenosis of middle cerebral artery
306,I661,Occlusion and stenosis of anterior cerebral artery
307,I662,Occlusion and stenosis of posterior cerebral artery
308,I663,Occlusion and stenosis of cerebellar arteries
309,I664,Occlusion and stenosis of multiple and bilateral cerebral arteries
310,I668,Occlusion and stenosis of other cerebral artery
311,I669,Occlusion and stenosis of unspecified cerebral artery
312,I67X,Other cerebrovascular diseases
313,I670,"Dissection of cerebral arteries, nonruptured"
314,I671,"Cerebral aneurysm, nonruptured"
315,I672,Cerebral atherosclerosis
316,I673,Progressive vascular leukoencephalopathy
317,I674,Hypertensive encephalopathy
318,I675,Moyamoya disease
319,I676,Nonpyogenic thrombosis of intracranial venous system
320,I677,"Cerebral arteritis, not elsewhere classified"
321,I678,Other specified cerebrovascular diseases
322,I679,"Cerebrovascular disease, unspecified"
323,I68X,Cerebrovascular disorders in diseases classified elsewhere
